IDcyclist,gene_sz_lastname,gene_sz_firstname,fkIDteam
3981,Pacher,Quentin,6
3984,Thomas,Benjamin,34
3994,Riesebeek,Oscar,37
3998,Seye,Guillaume,119
4038,Malucelli,Matteo,12
4044,Tizza,Marco,119
4047,Kragh Andersen,Søren,11
4049,Noreilde,Kobe,576
4050,Dejaegher,Floris,578
4054,Eeckhout,Sander,119
4055,Dejaeghere,Matthis,578
4056,Van Den Heuvel,Thibaut,578
4058,Marin,Julien,590
4059,Le Boetez,Clément,119
4060,Bauer,Timmy,522
4066,Gogl,Michael,37
4083,Milan,Matteo,6
4084,Olivo,Bryan,649
4085,Skerl,Daniel,13
4086,Rossi,Nicola,160
4088,D'Aiuto,Filippo,395
4089,Favretto,Carlo Francesco,119
4093,Busatto,Francesco,37
4095,Griggion,Simone,119
4096,Nordal,Mattias,119
4098,Tovazzi,Elia,119
4101,Biagini,Federico,81
4102,Bernard,Thibaut,204
4103,D'Hollander,Luca,119
4105,Jacques,Lucas,124
4106,Lowie,Théo,119
4107,Tuscano,Alessandro,119
4108,Verleyen,Gaëtan,253
4109,Biebuyck,Aurélien,119
4110,Fievez,Philippe,119
4111,Vincent,Johan,119
4113,Vanoverschelde,Kobe,119
4114,Van Schoor,Matthew,119
4115,Dhaeye,Enrico,253
4118,Saver,Kasper,119
4121,Van Praet,Robbe,119
4124,Debaele,Jorre,119
4125,Van de Wynkele,Lorenz,204
4126,Kino,Jan,253
4128,Vangheluwe,Warre,10
4131,Hulsmans,Senne,409
4133,Deweirdt,Siebe,69
4134,De Jaeger,Arthur,119
4135,Holther,Trym,119
4136,Dens,Tuur,69
4137,Sánchez,Eugenio,228
4139,Kopecký,Matyáš,236
4141,Cirlincione,Domenico,119
4144,Perani,Riccardo,335
4149,Biancalani,Andrea,335
4157,Kajamini,Florian Samuel,12
4158,O'Connor,Ronan,441
4160,Arvanitou,Nikiforos,239
4162,Gasparini,Alessio,272
4164,Narumi,Soh,337
4166,Tsen,Ren Bao,218
4170,Martorell,Erik,119
4171,Rota,Raúl,431
4173,Peretz,Aviv,119
4174,Raisberg,Nadav,42
4175,Buttigieg,Aidan,102
4177,Tuka,Samuel,119
4179,Honda,Haruhi,244
4182,Crockett,Finn,409
4183,Roesems,Siebe,442
4187,Carpentier,Florian,119
4190,Mewes,Ben,119
4192,Hollenbeck,Sean,523
4193,Latouche,Normann,119
4198,López,Juan Carlos,119
4200,Toneatti,Davide,12
4202,Pomorski,Michal,415
4203,Radosz,Maksymilian,106
4204,Kostanski,Mateusz,614
4206,Larsen Feldmann,Karsten,236
4208,Ravnøy,Johan,119
4209,Boroš,Michael,58
4212,Špoljar,Jaka,50
4216,Pereira,Francisco,232
4217,Pinheiro,Ivo,232
4219,Dias,Daniel,259
4220,Leal,Tiago,171
4222,Narciso,Diogo,365
4228,Ury,Noé,220
4232,Reißig,Patrick,369
4236,Russell,Evan,523
4237,Voege,Lennart,220
4238,Dethy,Matthis,119
4242,Vidts,Obie,119
4243,Jordens,Jarno,119
4246,Bailey,Harrison,119
4247,García,José María,431
4248,Bloem,Joren,236
4249,Herben,Luuk,119
4250,Bierkens,Tim,119
4251,Bogerd,Marien,119
4252,Gademan,Sam,409
4254,Rouffaer,Lars,167
4257,van Uum,Lars,119
4259,Vliek,Mike,119
4260,Janssen,Lucas,657
4261,Graat,Tijmen,14
4262,Kramer,Jesse,158
4263,Habets,Jordan,119
4264,Konings,Roan,140
4267,Klaver,Jente,119
4268,Lemmen,Bart,14
4269,Amadori,Julien,596
4271,Bonnefoix,Edouard,119
4273,Goubert,Jean,119
4274,Hennequin,Paul,100
4275,Jegat,Jordan,25
4276,Mariault,Axel,169
4281,Paumann,David,112
4282,Wafler,Tim,220
4286,Sørensen,Frederik Bjørn,434
4287,Søndergaard,Oliver,624
4289,Holm,Albert,119
4296,Özkalbim,Kaan,418
4297,Obholzer,Theodor,105
4298,Köch,Silas,153
4299,Gill,Michael,119
4301,Hucks,Oliver,119
4303,Dirnbauer,Josef,112
4304,Boichis,Adrien,33
4305,Gómez,Camilo,43
4307,Nerurkar,Lukas,5
4310,Camprubí,Marcel,22
4311,Domínguez,David,109
4313,González,Antonio,177
4314,Minoia,Sebastiano,398
4315,Muñoz,Francisco,102
4316,Raccagni,Gabriele,102
4320,Agirre,Aitor,352
4321,Alustiza,Nicolás,100
4329,Fede,Gabriel,119
4330,Jean,Victor,652
4331,Lethier,Melvyn,119
4333,Sanlaville,Mathias,169
4339,Guerra,Andrea,335
4341,Miyazaki,Taishi,243
4344,Hoyos,Daniel,653
4345,Ryttersgaard,Sebastian,619
4346,Cattani,Michael,119
4347,Khorguani,Giorgi,119
4350,Shakotko,Aleksandr,119
4351,Faisal,Arfan,119
4356,Ershov,Artur,119
4360,Jeromel,Vid,119
4363,Turkulov,Luka,119
4366,Stieger,Adrian,125
4368,Kupusovic,Dorde,119
4372,Tomic,Marko,119
4373,Vulićević,Vladimir,119
4374,Kergozou,Nick,218
4376,Barnes,Toby,119
4377,Mion,Samuele,119
4382,Kunz,Dominic,119
4384,Avondts,Mathis,146
4385,Nemati Khiavi,Ali,129
4387,Noei Dashdebi,Alireza,119
4388,Sarani Azar,Benham,255
4389,Stöckli,Jan,240
4390,Kaminski,Zakhar,119
4391,Keogh,Cian,441
4395,Aso,Keisuke,249
4396,Kubota,Yusuke,181
4397,Nakamura,Keisuke,181
4405,Balciunas,Mantas,119
4406,De Mey,Remi,119
4408,Tomkus,Martynas,615
4412,Raugala,Gustas,119
4414,Batsambuu,Batbaatar,119
4415,Battsengel,Khankuu,119
4416,Erdene-Orgil,Javkhlanbat,119
4421,Briese,Max,267
4422,Vaughan,Jacob,119
4425,Reyes Morales,José Miguel,119
4430,Colladon,Jacopo,123
4431,Godts,Kobe,119
4432,Wattelle,Célestin,123
4433,Kazakevicius,Arturas,119
4434,Burnett,Josh,92
4435,Chapman,Joe,119
4436,Jackson,George,185
4439,Oliver,Ben,26
4442,Williamson,James,185
4443,Hornblow,Keegan,185
4445,Peter,Michael,172
4452,Marriage,Zac,211
4453,Panizza,James,119
4454,Sinclair,Aiden,119
4455,Moyano,Tomás Eloy,615
4458,Vecchi,Franco,119
4460,Diaz,Rodrigo Daniel,119
4461,Di Camillo,Lorenzo,119
4463,Pop,Bogdan,119
4466,Reyes,Steven Israel,119
4470,Lutter,Eric,119
4471,Schmidt,Jakob,234
4473,Lumanog,Marco,119
4475,Valdez,Gilbert,119
4476,Brnák,Jan,119
4478,Otta,Josef,119
4479,Alarcon,Exequil Adolfo,119
4480,Díaz,Julián,119
4482,Remkhi,Rudolf,130
4483,Zhumakan,Alisher,174
4484,Havrlant,Jakub,119
4488,Paiva,Daniel,119
4489,Perez,Cristian,119
4495,Choi,Taeyeon,266
4498,Kess,Alexandre,153
4499,Vasseur,Clément,119
4500,Oh,Jeseok,119
4501,Kim,Eunmin,119
4503,Lee,Geonmin,332
4506,Sun,Tao,119
4508,Ma,Binyan,446
4510,Heo,Seungsoo,119
4511,Joo,Sarang,119
4513,Shin,Jinsoo,119
4515,Kim,Duha,119
4516,Shen,Yutao,119
4517,Sun,Wentao,423
4520,Tomšic,Dan Andrej,119
4523,Kim,Minjae,119
4524,Ferreira,Fernando Andrés,119
4526,Montenegro,Jhonatan Byron,119
4530,Gómez,Yelko,448
4532,Pan,Changyi,424
4536,Jang,Yeonho,332
4537,Jeong,Seunghwa,313
4539,Rodriguez,Marcos León,119
4543,Ambrosini,Matteo,221
4551,Turmon,Chaz,378
4560,Kim,Sangmin,119
4564,Putz,Sebastian,178
4565,Aliyev,Ruslan,119
4567,Koltunov,Vladimir,119
4572,Fu,Zhenghao,193
4573,Li,Boan,193
4574,Liu,Chenrui,119
4575,Liu,Mingzhe,193
4576,Niu,Gaoshang,193
4578,Wang,Kuicheng,193
4580,Yang,Yang,193
4582,Huang,Guoqing,119
4589,Hamm,Emile,119
4590,Kalichman,Daniel,440
4594,Boonrod,Nattaphom,119
4595,Kitjaroenwat,Suriya,196
4597,Pakdeengamsorn,Nattapon,196
4598,Phunsawat,Teerachai,196
4599,Preechaveerakul,Kanjaphat,196
4600,Samansanti,Nati,196
4601,Simons,Saharat,196
4602,Visitvattanakul,Sompoch,196
4603,Waree,Witthawat,196
4605,Barbu,Leonard,195
4606,Cojanu,Andrei,195
4607,Dragoiu,Stefan,119
4609,Piciu,Mattew-Denis,119
4612,Bocharov,Dmitriy,119
4613,Elli,Konstantin,119
4616,Rakhimbaev,Bekhzodbek,119
4620,Braga,Rafael,119
4623,Egidio da Rosa,Cristian,119
4624,Freitas,Kacio,119
4625,Gonzeli,Otavio,372
4626,Rossi,João Pedro,372
4631,Khorshid,Khalil,258
4632,Labib,Ali,119
4634,Aghakashi,Mahdi,258
4636,Ghavami,Ramyar,258
4637,Mohammadabadi,Davood,119
4639,Rezaei Layeh,Meysam,246
4640,Rezvani,Morteza,119
4643,Paez,Mauricio,119
4653,Macías,César,92
4654,Quiroga,Yahir,119
4656,Ávila,Freddy,119
4657,Mancipe,Andrés,119
4659,Rico,Cristián David,215
4660,Vargas Hernández,Brayan,519
4663,Husain,Jasim,119
4664,Mohamed,Husain,119
4665,Bai,Jiaqing,422
4666,Liu,Wenxiao,119
4668,Steenkamp,Alwyn,119
4670,Alsubaiei,Mansoor,119
4672,Gaday Orozco,Lucas,119
4677,Buta,Catalin,195
4678,Gurbanov,Ali,119
4680,Takubo,Kenji,119
4682,Li,Tiancheng,119
4683,Yu,Yuanfeng,446
4691,Matienzo,Ryan,119
4702,Al Rawahi,Husam,551
4703,Alyaqoobi,Abdulrahman,551
4704,Al-Wahibi,Mohammed,551
4705,Al Riyami,Mazin,551
4706,Hahn,Hugo,119
4708,Khosroshahi,Behnam,246
4709,Hamid,Hafidz,119
4712,Nagashio,Konosuke,119
4713,Daud,Amsyar,119
4715,Zainol,Aimanfitri,119
4716,Niyonkuru,Samuel,270
4717,Iradukunda,Valens,119
4719,Brough,Jack,119
4720,Shaari,Yusri,119
4722,Posuwan,Phonthep,119
4724,Alsac,Mehmet,119
4725,Cherki,Salah Eddine Ayoubi,273
4726,Ferkous,Ayoub,119
4727,Badlis,Slimane,119
4729,Minoual,Soulayman,119
