IDteam,gene_sz_name,gene_sz_shortname
261,Giant Cycling Team,Giant
262,Jakarta Pro Cycling Team,Jakarta
263,Konya Büyüksehir Belediye Spor,Konya
264,Nusantara Cycling Team,Nusantara
265,Camp Cycling Team,Camp Cycling
266,Gapyeong Cycling Team,Gapyeong
267,REMBE - rad-net,REMBE - rad-net
269,Thailand Continental Cycling Team,Thailand CT
270,Team Amani,Amani
272,P.A.S. Ioaninnon - P&I,P.A.S. Ioaninnon
273,Madar Pro Cycling Team,Madar
274,Energus Cycling Team,Energus
275,Standard Insurance PHI,Standard Insurance
276,Team Brennan,Team Brennan
277,Toscana Factory Devo Team,Toscana Factory DT
278,Tianyoude Hotel Cycling Team,Tianyoude
279,UijeongBu Cycling Team,UijeongBu
280,Tshenolo Pro Cycling Team,Tshenolo
295,Seoul Cycling Team,Seoul
299,Aviludo - Louletano - Loulé,Aviludo - Louletano
313,LX Cycling Team,LX
317,Tufo - Pardus Prostejov,Tufo - Pardus
319,Lokomotiv-Manas,Lokomotiv-Manas
320,Shimano Racing Team,Shimano Racing
326,Pauwels Sauzen - Altez Industriebouw Cycling Team,Pauwels Sauzen
327,Baloise Verzekeringen - Het Poetsbureau Lions,Baloise Lions
332,Geumsan Insam Cello,Geumsan
333,HKSI Pro Cycling Team,HKSI
335,Beltrami TSA Tre Colli,Beltrami
336,S.C. Padovani Polo Cherry Bank,SC Padovani
337,Gragnano Sporting Club,Gragnano
349,Pío Rico Cycling Team,Pío Rico
352,Euskadi Fundazioa,Euskadi Fundazioa
360,Go For Gold Philippines,Go For Gold
363,Roojai Insurance Winspace,Roojai
365,Credibom / LA Alumínios / Marcos Car,Credibom / LA Alumínios
369,Benotti Berthold,Benotti Berthold
372,Localiza Meoo / Swift Pro Cycling,Swift Pro Cycling
378,Team Skyline,Skyline
379,GI Group Holding - Simoldes - UDO,GI Group - Simoldes
380,Shenzhen Kung Cycling Team,Kung
381,Shenzhen Gineyea - Xidesheng Cycling Team,Shenzhen
393,EuroCyclingTrips - CCN,EuroCyclingTrips
395,General Store - Essegibi - F.lli Curia,General Store - Essegibi
398,Vega - Vitalcare - Dynatek,Vega - Vitalcare
404,Almaty,Almaty
409,VolkerWessels Cycling Team,VolkerWessels
410,WSA KTM Graz,WSA KTM
412,Sidi Ali - Unlock Team,Sidi Ali - Unlock
414,Agadir Vélo Propulsion,Agadir Vélo
415,ATT Investments,ATT Investments
416,Ukraine Cycling Team,Ukraine Cycling
418,Spor Toto Cycling Team,Spor Toto
419,Movistar Best PC,Movistar Best PC
422,Wheeltop Rotor Chengdu Team,Chengdu
423,Li Ning Star,Li Ning Star
424,Pardus Cycling Team,Pardus
425,Caja Rural-Alea,Caja Rural-Alea
430,Equipo Finisher,Finisher
431,Illes Balears Arabay,Illes Balears
434,Airtox - Carl Ras,Airtox - Carl Ras
440,L39ION of Los Angeles,L39ION of LA
441,APS Pro Cycling,APS Pro Cycling
442,Alpecin-Premier Tech Development Team,Alpecin-Premier Tech DT
446,China Anta - Mentech Cycling Team,China Anta
448,Panamá es Cultura y Valores,Panamá es Cultura
450,Dukla Banska Bystrica,Dukla Banska
501,Hino One La Red Suzuki,Hino One La Red
502,Decorabaños Bantrab,Decorabaños
503,Castelli-Deluxe-Redhook,Castelli-Deluxe
504,ECA Electricidad Ciclismo,ECA Electricidad
506,Team Colono Bikestation kölbi,Colono
512,Karya GSK,Karya
514,Velo Bursa Team,Velo Bursa
516,Orgullo Paisa,Orgullo Paisa
519,Avinal - Alcaldía El Carmen de Viboral,Avinal
520,Team Sistecredito,Sistecredito
522,Above and Beyond Cancer,Above and Beyond
523,Expeditors Elite Cycling Team,Expeditors
524,7C Economy,7C Economy
526,EF Education - Aevolo,EF - Aevolo
527,IRB El Kantara Cycling Team,IRB El Kantara
528,Majd Guerrara CC,Majd Guerrara
529,Mouloudia Club d'Alger,Mouloudia
530,Team Algeria,Team Algeria
533,Team Trululu Grupo La Guacamaya,Trululu La Guacamaya
534,Gobierno de Trujillo,Trujillo
535,Lotería del Táchira,Lotería Táchira
536,SNH Vélo Club,SNH Vélo Club
539,Ciclismo de Politáchira,Politáchira
545,Kelly Benefit Strategies Elite,Kelly Benefit
548,Cannondale Echelon p/b 4iii,Cannondale Echelon
550,TaG Cycling Race Team Cantico,TaG Cycling
551,Team Oman,Team Oman
554,Sensa - Kanjers voor Kanjers Cyclingteam,Sensa
557,Global Cycling Team,Global
560,WPGA Amsterdam Racing Academy,WPGA
563,Giant Store Assen - NWVG,NWVG
572,Team Hemus-1896 Troyan,Hemus-1896
575,ARBÖ ON-Fahrrad,ARBÖ ON
576,DL Chemicals - Experza CT,DL Chemicals - Experza
577,Urbano-Vulsteke-Bumaco Cycling Team,Urbano
578,The Lead Out Cycling Academy,The Lead Out
582,Team Albania,Team Albania
584,Team Greece,Team Greece
585,Team Mali,Team Mali
586,Team Rwanda,Team Rwanda
587,Team Burkina Faso,Team Burkina Faso
588,Team Ivory Coast,Team Ivory Coast
589,Bourg-en-Bresse Ain Cyclisme,Bourg-en-Bresse
590,AVC Aix Provence Dole,AVC Aix
591,Vélo Club Villefranche Beaujolais,Villefranche
595,SCO Dijon-Team Materiel-velo.com,SCO Dijon
596,Team France Clubs Défense,France Défense
597,Veloce Club Rouen 76,VC Rouen
599,Svealand Cycling Team,Svealand
603,Team Hopplà,Hopplà
604,So.L.Me. - Olmo,So.L.Me. - Olmo
605,UC Trevigiani Energiapura Marchiol,UC Trevigiani
607,Óbidos Cycling Team,Óbidos
608,Porminho Team SUB23 / UCT,Porminho
610,Soma Group,Soma Group
611,TC Chrobry SCOTT Glogów,Chrobry SCOTT Glogów
612,ASC Monsters Indonesia,ASC Monsters
614,Wibatech Lubelskie Perła Polski,Lubelskie
615,Bialini Gomola Hygge,Bialini Gomola Hygge
616,Team Mauritius,Team Mauritius
617,Team Benin,Team Benin
618,Team Morocco,Team Morocco
619,Team Sparekassen Danmark Aalborg,Sparekassen Aalborg
621,CeramicSpeed Racing p/b Aros Forsikring,Herning CK
622,Team CO:Play - Giant,CO:Play - Giant
624,Team Give Steel - 2M Cycling Elite,Give Steel - 2M
625,Schils Doltcini Racing Team,Schils Doltcini
627,Lillehammer CK Continental Team,Lillehammer
628,Team Ringerike,Team Ringerike
635,Team Embrace The World Cycling,Embrace The World
639,Team Romania,Team Romania
644,Centre Mondial du Cyclisme,Centre Mondial du Cyclisme
645,UC Monaco,UC Monaco
646,Team Saudi Arabia,Team Saudi Arabia
647,U23 Velo Performance Cycling Team,Velo Performance
649,Swatt Club,Swatt Club
650,MaxSolar-Raymon,MaxSolar
652,Elite Fondations Cycling Team,Elite Fondations
653,100% Huevos Alcaldía de Manizales,Alcaldía de Manizales
654,LUKS Trójka Piaseczno,LUKS Trójka Piaseczno
655,Cyklotym Havirov - Tirana,Havirov Tirana
656,Olinka Specialized,Olinka Specialized
657,Volharding Cycling Team,Volharding
658,Team Vittel-N'side,Vittel-N'side
659,JAKROO Handsling Racing by Promethean Sports,JAKROO
660,Technosylva Maglia Rower Bembibre,Technosylva
